epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1193.96,0.84913,0.78813,1.19539,0.87087,0.82367,0.89218,0.71031,0.84174,0.64261,1.15089,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,1592.24,0.84042,0.78406,1.19293,0.87236,0.81687,0.89243,0.71079,0.84144,0.64076,1.1499,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,1990.87,0.83568,0.76813,1.18779,0.87791,0.82567,0.89373,0.71342,0.83747,0.63763,1.14533,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,2390.99,0.82317,0.75815,1.17886,0.87458,0.82677,0.89447,0.71418,0.83496,0.63597,1.14147,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,2783.23,0.82498,0.75229,1.18226,0.882,0.8179,0.89415,0.71536,0.83197,0.63375,1.14071,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3184.54,0.81393,0.7385,1.17636,0.87561,0.82007,0.89496,0.71484,0.83292,0.62832,1.14012,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3635.62,0.80627,0.72896,1.17246,0.87652,0.82629,0.89596,0.71724,0.82912,0.62449,1.13618,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4123.7,0.80672,0.72315,1.16734,0.86949,0.83475,0.89582,0.71725,0.82566,0.62254,1.13606,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4581.54,0.80052,0.70516,1.1648,0.86717,0.83607,0.89545,0.71769,0.82165,0.61854,1.13358,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,5042.75,0.7341,0.57861,1.15861,0.88879,0.8156,0.8964,0.71808,0.81768,0.61501,1.13027,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,5505.9,0.71364,0.55131,1.14544,0.87995,0.82316,0.897,0.71927,0.81381,0.6095,1.12787,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,5960.82,0.7006,0.53347,1.13721,0.88492,0.82053,0.89852,0.72166,0.81138,0.60507,1.12573,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,6417.56,0.68847,0.52407,1.12922,0.888,0.82149,0.89974,0.7229,0.81047,0.60219,1.12511,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,6852.78,0.67642,0.50641,1.12408,0.88332,0.82725,0.90048,0.72493,0.80815,0.59913,1.12386,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,7282.89,0.66598,0.49953,1.11533,0.8828,0.82939,0.90071,0.72541,0.80672,0.59487,1.12335,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,7710.37,0.66442,0.49227,1.11021,0.88333,0.83157,0.9011,0.72625,0.80572,0.59261,1.12287,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8155.47,0.65246,0.48062,1.10397,0.88752,0.82795,0.90121,0.72664,0.80514,0.58935,1.12196,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8612.21,0.64459,0.47124,1.09807,0.87775,0.83504,0.90107,0.72726,0.80481,0.58769,1.1214,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9074.11,0.63984,0.46366,1.09513,0.88391,0.83386,0.90151,0.72787,0.80479,0.58554,1.12165,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
